@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
82,'2018/07/12 22:06:20:032',3,343.722137,393.412323,52.54179,416.862,356.537903,73.323738,359.872314,381.724792,47.109367,336.163422,377.155396,46.588856,309.183411,370.63736,47.943596,1
83,'2018/07/12 22:06:20:085',3,345.790527,396.981049,52.636696,418.260803,359.905579,73.290604,360.324921,385.090179,47.152905,336.835632,380.615143,46.670334,309.944946,373.968079,48.005451,1
84,'2018/07/12 22:06:20:140',3,345.667206,400.23822,52.543884,418.949371,363.668854,73.178024,360.089264,388.260132,47.071529,336.77298,383.796173,46.626751,309.977448,377.038025,47.948135,1
85,'2018/07/12 22:06:20:197',3,344.955933,401.3479,52.487293,418.589752,364.643982,73.198929,359.85257,389.445892,47.10593,336.563873,385.04425,46.674133,309.718048,378.279144,47.977856,1
86,'2018/07/12 22:06:20:253',3,343.149628,401.42981,52.312576,418.018921,364.770111,73.210693,359.631104,389.84494,47.116783,336.382782,385.491791,46.693756,309.469971,378.687988,47.974365,1
87,'2018/07/12 22:06:20:305',3,339.085663,399.768555,52.157562,417.309296,363.391052,73.182945,358.988434,389.367004,47.136307,335.849182,384.955444,46.707329,309.024536,377.944092,47.950405,1
88,'2018/07/12 22:06:20:362',3,336.758118,395.193024,52.049961,415.706726,358.545929,73.043831,358.112183,385.54425,47.01543,335.089661,381.063171,46.567577,308.346863,373.83844,47.767067,1
89,'2018/07/12 22:06:20:417',3,334.833801,388.834595,52.114902,414.018097,351.483276,73.055969,356.938477,379.489258,47.013588,333.946838,374.889008,46.53286,307.154266,367.696716,47.732304,1
90,'2018/07/12 22:06:20:470',3,353.153198,384.822754,53.269642,413.789429,345.925842,73.274704,353.725586,374.388947,47.31897,330.744537,369.631775,46.854092,304.074615,362.326416,48.084919,1
91,'2018/07/12 22:06:20:528',3,357.166962,382.617188,53.734604,413.378754,343.746399,73.25045,349.989105,372.168732,47.413082,327.326508,366.95929,46.943695,301.316895,359.151733,48.168579,1
